Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.2.2\experiments\Hara\20210513_Setdb2KO_Lung_Hara.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-05-13 14:31:33 PM GMT+09:00,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,C„„,C„„ Mean,C„„ SD,ƒ¢C„„,ƒ¢C„„ Mean,ƒ¢C„„ SE,HK Control ƒ¢C„„ Mean,HK Control ƒ¢C„„ SE,ƒ¢ƒ¢C„„,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Comments
C7,Sample 1,ifna4,UNKNOWN,FAM,NFQ-MGB,1,,,31.97984695,31.97984695,,,14.11045265,,,,0,FALSE,0.1,TRUE,3,28,1,
C8,Sample 2,ifna4,UNKNOWN,FAM,NFQ-MGB,0.145399466,,,35.12844086,35.12844086,,,16.89235878,,,,2.781906128,FALSE,0.1,TRUE,3,31,1,
C9,Sample 3,ifna4,UNKNOWN,FAM,NFQ-MGB,0.457562208,,,33.09746552,33.09746552,,,15.23841286,,,,1.127960205,FALSE,0.1,TRUE,3,29,1,
C10,Sample 4,ifna4,UNKNOWN,FAM,NFQ-MGB,0.065650053,,,35.70401382,35.70401382,,,18.03951263,,,,3.929059982,FALSE,0.1,TRUE,3,32,1,
C11,Sample 5,ifna4,UNKNOWN,FAM,NFQ-MGB,0.161849901,,,34.3793602,34.3793602,,,16.7377243,,,,2.627271652,FALSE,0.1,TRUE,3,30,1,
C12,Sample 6,ifna4,UNKNOWN,FAM,NFQ-MGB,0.045771226,,,36.24755096,36.24755096,,,18.55986786,,,,4.449415207,FALSE,0.1,TRUE,3,32,1,
D1,Sample 1,ifnb1,UNKNOWN,FAM,NFQ-MGB,1,,,30.53270721,30.53270721,,,12.66331291,,,,0,FALSE,0.1,TRUE,3,26,1,
D2,Sample 2,ifnb1,UNKNOWN,FAM,NFQ-MGB,0.141163394,,,33.72395706,33.72395706,,,15.48787498,,,,2.824562073,FALSE,0.1,TRUE,3,30,1,
D3,Sample 3,ifnb1,UNKNOWN,FAM,NFQ-MGB,0.271507561,,,32.40330124,32.40330124,,,14.54424858,,,,1.880935669,FALSE,0.1,TRUE,3,28,1,
D4,Sample 4,ifnb1,UNKNOWN,FAM,NFQ-MGB,0.271218061,,,32.210289,32.210289,,,14.54578781,,,,1.882474899,FALSE,0.1,TRUE,3,28,1,
